rank,code,name,score,close,pct,industry,pe,pb,mv_yi
1,600816,建元信托,1.407,2.43,0.41,非银金融,,,
2,603092,德力佳,1.218,41.0,0.2,电力设备,,,
3,301606,绿联科技,1.181,51.9,-2.85,电子,,,
4,301358,湖南裕能,1.165,53.95,0.94,电力设备,,,
5,300390,天华新能,1.132,53.76,-0.02,电力设备,,,
6,002709,天赐材料,1.111,33.04,2.26,电力设备,,,
7,300308,中际旭创,1.079,873.0,-5.72,通信,,,
8,301377,鼎泰高科,1.079,384.99,-1.36,机械设备,,,
9,300475,香农芯创,1.071,161.38,-3.74,电子,,,
10,002414,高德红外,1.066,12.24,-0.41,国防军工,,,
11,300857,协创数据,1.061,252.09,-3.41,电子,,,
12,301308,江波龙,1.057,331.01,-2.52,电子,,,
13,001309,德明利,1.053,387.9,-3.68,电子,,,
14,300953,震裕科技,1.051,88.72,3.19,电力设备,,,
15,301536,星宸科技,0.981,109.83,-0.96,电子,,,
16,300604,长川科技,0.953,253.57,-1.6,电子,,,
17,600595,中孚实业,0.908,6.08,-1.3,有色金属,,,
18,600115,中国东航,0.871,3.37,-1.17,交通运输,,,
19,600221,海航控股,0.863,1.27,-1.55,交通运输,,,
20,000408,藏格矿业,0.859,72.16,-0.67,基础化工,,,
21,000703,恒逸石化,0.84,17.07,-1.61,石油石化,,,
22,002064,华峰化学,0.835,10.23,2.3,基础化工,,,
23,300458,全志科技,0.833,29.26,-0.48,电子,,,
24,603986,兆易创新,0.797,356.88,-3.89,电子,,,
25,600685,中船防务,0.795,28.2,-1.88,国防军工,,,
26,002558,巨人网络,0.795,25.02,-0.75,传媒,,,
27,605117,德业股份,0.794,85.8,0.35,电力设备,,,
28,000807,云铝股份,0.794,27.02,-0.99,有色金属,,,
29,000657,中钨高新,0.791,59.17,1.11,有色金属,,,
30,001389,广合科技,0.773,171.44,-2.03,电子,,,
31,600150,中国船舶,0.767,38.98,-1.94,国防军工,,,
32,300502,新易盛,0.759,401.9,-4.99,通信,,,
33,000938,紫光股份,0.754,32.73,-0.33,计算机,,,
34,000792,盐湖股份,0.751,25.14,-1.22,基础化工,,,
35,603233,大参林,0.733,18.25,3.11,医药生物,,,
36,300972,万辰集团,0.728,178.8,-1.28,商贸零售,,,
37,600183,生益科技,0.728,146.0,-1.64,电子,,,
38,002493,荣盛石化,0.728,13.2,-2.94,石油石化,,,
39,600489,中金黄金,0.724,24.6,0.29,有色金属,,,
40,600601,方正科技,0.721,14.82,-0.07,电子,,,
