date,code,name,score,close
2026-08-07,301606,绿联科技,2.144,52.86
2026-08-07,603092,德力佳,1.903,49.61
2026-08-07,601112,振石股份,1.873,15.53
2026-08-07,603737,三棵树,1.606,23.13
2026-08-07,603786,科博达,1.55,42.47
2026-08-07,001221,悍高集团,1.384,40.5
2026-08-07,002032,苏泊尔,1.326,41.11
2026-08-07,603858,步长制药,1.269,15.95
2026-08-07,301498,乖宝宠物,1.23,42.89
2026-08-07,600816,建元信托,1.057,2.51
2026-08-07,600295,鄂尔多斯,1.048,12.04
2026-08-07,603699,纽威股份,1.02,52.25
2026-08-07,600132,重庆啤酒,0.856,44.06
2026-08-07,002318,久立特材,0.854,19.97
2026-08-07,600803,新奥股份,0.814,17.3
2026-08-07,603568,伟明环保,0.777,15.41
2026-08-07,600970,中材国际,0.752,7.83
2026-08-07,603899,晨光股份,0.741,22.48
2026-08-07,000429,粤高速A,0.727,14.8
2026-08-07,601577,长沙银行,0.709,9.21
2026-08-07,002773,康弘药业,0.699,22.75
2026-08-07,603565,中谷物流,0.685,10.39
2026-08-07,002299,圣农发展,0.683,16.51
2026-08-07,300953,震裕科技,0.663,101.92
2026-08-07,600329,达仁堂,0.641,37.18
2026-08-07,600062,华润双鹤,0.637,16.36
2026-08-07,002244,滨江集团,0.637,8.5
2026-08-07,600486,扬农化工,0.624,55.13
2026-08-07,300432,富临精工,0.561,16.03
2026-08-07,002085,万丰奥威,0.559,10.66
2026-08-07,300144,宋城演艺,0.553,6.14
2026-08-07,600546,山煤国际,0.524,13.02
2026-08-07,300548,长芯博创,0.509,177.04
2026-08-07,002487,大金重工,0.492,42.12
2026-08-07,000559,万向钱潮,0.49,11.77
2026-08-07,603298,杭叉集团,0.481,26.14
2026-08-07,601799,星宇股份,0.478,94.36
2026-08-07,600845,宝信软件,0.461,18.26
2026-08-07,603233,大参林,0.459,17.51
2026-08-07,603486,科沃斯,0.454,57.92
